label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
114,n03649909,"lawn mower, mower",49,0.3469387755102041,0.6938775510204082,0.7959183673469388,2.6024867877973508,0.23688718137401935,8.959183673469388,3.0,36,19,0.4722222222222222,0.3469387755102041,0.39999999999999997
115,n03662601,lifeboat,50,0.78,0.88,0.9,1.2660823246922994,0.7138162731703939,10.84,1.0,48,9,0.8125,0.78,0.7959183673469388
116,n03670208,"limousine, limo",50,0.44,0.78,0.9,2.1583683535511318,0.2790308306256762,4.36,2.0,46,24,0.4782608695652174,0.44,0.4583333333333333
117,n03706229,magnetic compass,49,0.4489795918367347,0.6530612244897959,0.7346938775510204,2.726103220816145,0.3247521672137651,18.551020408163264,2.0,50,28,0.44,0.4489795918367347,0.4444444444444445
118,n03733131,maypole,49,0.7142857142857143,0.8367346938775511,0.9387755102040817,1.2744206535573888,0.5443176123824874,3.510204081632653,1.0,48,13,0.7291666666666666,0.7142857142857143,0.7216494845360826
119,n03763968,military uniform,45,0.37777777777777777,0.6,0.7333333333333333,2.841892536370032,0.2099385303701194,10.444444444444445,3.0,47,30,0.3617021276595745,0.37777777777777777,0.3695652173913044
120,n03770439,"miniskirt, mini",50,0.28,0.54,0.68,3.0178213742447983,0.14926452160131223,10.6,5.0,50,36,0.28,0.28,0.28
121,n03796401,moving van,50,0.44,0.84,0.9,1.8427434725270475,0.36692432898431226,5.26,2.0,52,30,0.4230769230769231,0.44,0.4313725490196078
122,n03804744,nail,48,0.125,0.5208333333333334,0.6041666666666666,3.6479201342883236,0.0829555078589133,14.458333333333334,5.0,26,20,0.23076923076923078,0.125,0.16216216216216217
123,n03814639,neck brace,49,0.2653061224489796,0.5510204081632653,0.673469387755102,3.0209633315633204,0.15236255716229855,11.0,4.0,69,56,0.18840579710144928,0.2653061224489796,0.22033898305084745
124,n03837869,obelisk,49,0.7551020408163265,0.8979591836734694,0.9183673469387755,1.1640654035348847,0.5668893808901136,3.5918367346938775,1.0,62,25,0.5967741935483871,0.7551020408163265,0.6666666666666666
125,n03838899,"oboe, hautboy, hautbois",49,0.2653061224489796,0.46938775510204084,0.6326530612244898,3.375538623813366,0.14816504956688606,15.142857142857142,6.0,25,12,0.52,0.2653061224489796,0.35135135135135137
126,n03854065,"organ, pipe organ",50,0.56,0.8,0.82,1.7896666472811367,0.4299916914683512,7.3,1.0,60,32,0.4666666666666667,0.56,0.509090909090909
127,n03891332,parking meter,49,0.32653061224489793,0.6122448979591837,0.6938775510204082,3.1794426220974645,0.18069116686697398,13.73469387755102,4.0,45,29,0.35555555555555557,0.32653061224489793,0.3404255319148936
128,n03902125,"pay-phone, pay-station",47,0.3617021276595745,0.6808510638297872,0.7872340425531915,2.544027790555161,0.25817068031915896,10.063829787234043,2.0,60,43,0.2833333333333333,0.3617021276595745,0.3177570093457944
129,n03930313,"picket fence, paling",48,0.5208333333333334,0.6875,0.8333333333333334,2.1843043334639574,0.3593912280351277,7.375,1.0,51,26,0.49019607843137253,0.5208333333333334,0.5050505050505051
